SEC Region,Organization CRD#,SEC#,Firm Type,Primary Business Name,Legal Name,Main Office Street Address 1,Main Office Street Address 2,Main Office City,Main Office State,Main Office Country,Main Office Postal Code,Main Office Telephone Number,Main Office Facsimile Number,"Total number of offices, other than your Principal Office and place of business",Mail Office Street Address 1,Mail Office Street Address 2,Mail Office City,Mail Office State,Mail Office Country,Mail Office Postal Code,SEC Current Status,SEC Status Effective Date,Jurisdiction Notice Filed-Effective Date,Latest ADV Filing Date,Form Version,Website Address,1M,1N,1O,"1O - If yes, approx. amount of assets",1P,2B(1),2B(2),2B(3),3A,3A-Other,3B,3C-State,3C-Country,6A(1),6A(2),6A(3),6A(4),6A(5),6A(6),6A(7),6A(8),6A(9),6A(10),6A(11),6A(12),6A(13),6A(14),6A(14)-Other,6B(1),6B(2),6B(3),7A(1),7A(2),7A(3),7A(4),7A(5),7A(6),7A(7),7A(8),7A(9),7A(10),7A(11),7A(12),7A(13),7A(14),7A(15),7A(16),7B,10A,11,11A(1),11A(2),11B(1),11B(2),11C(1),11C(2),11C(3),11C(4),11C(5),11D(1),11D(2),11D(3),11D(4),11D(5),11E(1),11E(2),11E(3),11E(4),11F,11G,11H(1)(a),11H(1)(b),11H(1)(c),11H(2)
HQ,309384,802-119591,ERA,ION PACIFIC INVESTMENT MANAGEMENT LTD.,ION PACIFIC INVESTMENT MANAGEMENT LTD.,1508 EASTERN HARBOUR CENTRE,28 HOI CHAK STREET,QUARRY BAY,,Hong Kong,,+852 5270 7240,,0,,,,,,,ERA - Active,9/3/2020,,3/29/2022,Oct-21,HTTP://WWW.IONPACIFIC.COM,Y,N,N,,,N,Y,N,Other (specify),EXEMPTED COMPANY,DECEMBER,,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
LARO,161447,802-75580,ERA,VANTAGEPOINT CAPITAL PARTNERS,"VANTAGEPOINT MANAGEMENT, INC.",1505 E. VALLEY DRIVE,SUITE E,SANTA BARBARA,CA,United States,93108,650-866-3100,650-869-6078,1,,,,,,,ERA - Active,3/29/2012,,4/4/2022,Oct-21,HTTP://WWW.VPCP.COM,N,N,N,,,Y,N,N,Corporation,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,172833,802-111905,ERA,DBAY ADVISORS LIMITED,DBAY ADVISORS LIMITED,"3RD FLOOR, EXCHANGE HOUSE, 54-62 ATHOL STREET",ISLE OF MAN,DOUGLAS,,United Kingdom,IM1 1JD,0044 (0)1624 690900,0044 (0)1624 690901,0,,,,,,,ERA - Active,9/22/2017,,3/29/2022,Oct-21,HTTP://DBAYADVISORS.COM/,Y,N,N,,549300V0G3U0EBYG6L65,N,Y,N,Corporation,,DECEMBER,,Isle of Man,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYRO,291980,802-119469,ERA,"PERIPHAS CAPITAL, LP","PERIPHAS CAPITAL, LP",667 MADISON AVENUE,15TH FLOOR,NEW YORK,NY,United States,10065,646-876-6351,,0,,,,,,,ERA - Active,8/16/2020,,3/1/2022,Oct-21,https://www.periphascapital.com,N,N,N,,,N,Y,N,Limited Partnership,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYRO,308978,802-118755,ERA,4DX VENTURES,"4DX VENTURES MANAGEMENT, LLC",185 WYTHE AVENUE,,BROOKLYN,NY,United States,11249,631-621-8362,,0,,,,,,,ERA - Active,4/17/2020,,3/31/2022,Oct-21,https://www.4dxventures.com/,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
BRO,313330,802-121054,ERA,TRUE EQUITY MANAGEMENT LLC,TRUE EQUITY MANAGEMENT LLC,,,,,,,207-847-3733,,0,,,,,,,ERA - Active,3/31/2021,,4/1/2022,Oct-21,https://www.linkedin.com/company/true-equity,Y,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,310861,802-120717,ERA,"TOSSELL, LLC","TOSSELL, LLC",,,,,,,44-778-655-1531,,0,,,,,,,ERA - Active,3/5/2021,,3/28/2022,Oct-21,,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,301902,802-115309,ERA,CFP III G.P.,CFP III G.P.L.P.,"2ND FLOOR, WINDSOR HOUSE",LOWER POLLET,ST PETER PORT,,Guernsey,GY1 1WF,+44 1481 738100,,0,,,,,,,ERA - Active,4/18/2019,,2/24/2021,Mar-20,,Y,N,N,,,N,Y,N,Corporation,,DECEMBER,,Guernsey,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CHRO,319127,802-123511,ERA,"GRAVITY VENTURE PARTNERS, LLC","GRAVITY VENTURE PARTNERS, LLC",,,,,,,507-254-9874,,0,,,,,,,ERA - Active,2/21/2022,,2/21/2022,Oct-21,https://www.gravityfund.vc/,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
BRO,317080,802-123276,ERA,"FOUR CITIES INVESTMENT COMPANY, LLC","FOUR CITIES INVESTMENT COMPANY, LLC",,,,,,,978-273-7692,,0,,,,,,,ERA - Active,1/20/2022,,1/20/2022,Oct-21,http://www.fourcitiescapital.com,N,N,N,,,Y,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,312046,802-121050,ERA,PIONEER FUND,PIONEER FUND II MANAGEMENT CORP,22 ST CLAIR AVE EAST SUITE 1500,,"TORONTO, ONTARIO",,Canada,M4T2S3,14156505052,,0,,,,,,,ERA - Active,3/31/2021,,3/31/2022,Oct-21,HTTP://WWW.PIONEERFUND.VC,N,N,N,,,N,Y,N,Corporation,,DECEMBER,,Canada,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYRO,307442,802-118623,ERA,"PRB ADVISORS, L.L.C.","PRB ADVISORS, L.L.C.","245 PARK AVENUE, 39TH FLOOR",,NEW YORK,NY,United States,10167,212 792 4116,,0,,,,,,,ERA - Active,3/31/2020,,3/29/2021,Mar-20,,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
SFRO,309133,802-119382,ERA,"COLLAB+CURRENCY MANAGEMENT, LLC","COLLAB+CURRENCY MANAGEMENT, LLC",2720 E. 40TH AVENUE,,EUGENE,OR,United States,97405,541-206-3542,,0,,,,,,,ERA - Active,7/31/2020,,3/31/2022,Oct-21,https://twitter.com/Collab_Currency,N,N,N,,,N,N,Y,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,166493,802-88215,ERA,NEW HORIZON MANAGERS LIMITED,NEW HORIZON MANAGERS LIMITED,C/O IQEQ FUND SERVICES (MAURITIUS) LTD,33 EDITH CAVELL STREET,PORT LOUIS,,Mauritius,11324,+ 230 212 9800,+ 230 212 9833,0,C/O IQEQ FUND SERVICES (MAURITIUS) LTD,33 EDITH CAVELL STREET,PORT LOUIS,,Mauritius,11324,ERA - Active,4/1/2015,,3/30/2022,Oct-21,,Y,N,N,,2549006EXJMJBVKQ3444,N,Y,N,Corporation,,DECEMBER,,Mauritius,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,162513,802-75093,ERA,HPEF CAPITAL PARTNERS LIMITED,HPEF CAPITAL PARTNERS LIMITED,1620 THE HONG KONG CLUB BUILDING,"3A CHATER ROAD, CENTRAL",HONG KONG,,Hong Kong,,85237988388,85237988389,2,,,,,,,ERA - Active,3/28/2012,,5/4/2022,Oct-21,HTTP://WWW.HPEF.COM,Y,N,N,,,N,Y,N,Corporation,,DECEMBER,,Hong Kong,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYRO,308371,802-118688,ERA,"ELEQUIN CAPITAL, LP","ELEQUIN CAPITAL, LP",1359 BROADWAY,SUITE 1140,NEW YORK,NY,United States,10018,917-604-7222,,0,,,,,,,ERA - Active,4/9/2020,,3/22/2022,Oct-21,https://www.elequincapital.com/,N,N,N,,2549006ENPKYJVKCL975,N,Y,N,Limited Partnership,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
PLRO,318894,802-123469,ERA,"BARKSTON, LLC","BARKSTON, LLC",4615 HANOVER AVENUE,,RICHMOND,VA,United States,23226,804-720-6407,,0,,,,,,,ERA - Active,2/15/2022,,2/15/2022,Oct-21,,N,N,N,,,N,Y,N,Limited Partnership,,DECEMBER,VA,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,300911,802-118026,ERA,TAIREN CAPITAL LIMITED,TAIREN CAPITAL LIMITED,"26/F, NO. 8 QUEEN'S ROAD CENTRAL",,HONG KONG,,Hong Kong,,852-2815-2820,852-2815-5087,0,,,,,,,ERA - Active,1/3/2020,,3/23/2022,Oct-21,https://www.tairencapital.com/,Y,N,N,,549300XSY03I6PQDAN89,N,Y,N,Other (specify),PRIVATE COMPANY LIMITED BY SHARES,DECEMBER,,Hong Kong,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CHRO,163181,802-75971,ERA,PLYMOUTH MANAGEMENT COMPANY,PLYMOUTH MANAGEMENT COMPANY,555 BRIARWOOD CIRCLE,SUITE 210,ANN ARBOR,MI,United States,48108,734-747-9401,734-747-9704,0,,,,,,,ERA - Active,3/30/2012,,3/29/2022,Oct-21,HTTP://WWW.PLYMOUTHGP.COM/,N,N,N,,,Y,N,N,Corporation,,DECEMBER,MI,United States,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,295852,802-121120,ERA,QUMRA CAPITAL,QUMRA CAPITAL MANAGEMENT LTD.,4 HANEVI'IM ST.,,TEL AVIV,,Israel,643564,972-3-6055205,,0,,,,,,,ERA - Active,4/1/2021,,4/1/2021,Mar-20,https://m.facebook.com/QumraCapital/,N,N,N,,,Y,Y,N,Corporation,,DECEMBER,,Israel,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
SFRO,317910,802-123250,ERA,"MASTRY MANAGEMENT, LLC","MASTRY MANAGEMENT, LLC",,,,,,,(213) 247-6719,,0,,,,,,,ERA - Active,1/18/2022,,1/18/2022,Oct-21,https://mastry.vc/,N,N,N,,,Y,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,306018,802-118064,ERA,CINVEN CAPITAL MANAGEMENT (VII) GENERAL PARTNER LIMITED,CINVEN CAPITAL MANAGEMENT (VII) GENERAL PARTNER LIMITED,"LEVEL 4, MILL COURT,",LA CHARROTERIE,ST PETER PORT,,Guernsey,GY1 1EJ,+44 1481 743650,,0,,,,,,,ERA - Active,1/13/2020,,3/29/2022,Oct-21,HTTP://WWW.CINVEN.COM,Y,N,N,,213800N6C1D3B3HFF775,N,Y,N,Corporation,,DECEMBER,,Guernsey,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYRO,284664,802-108441,ERA,BRX GLOBAL,BRX GLOBAL LP,17 STATE STREET,40TH FLOOR,NEW YORK,NY,United States,10004,212-739-0739,,0,,,,,,,ERA - Active,9/16/2016,,3/22/2022,Oct-21,,N,N,N,,,N,Y,N,Limited Partnership,,DECEMBER,DE,United States,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,281571,802-106756,ERA,PLINIAN CAPITAL,PLINIAN CAPITAL LTD.,"SUITE 106, 1ST FLOOR,",180 PICCADILLY,LONDON,,United Kingdom,W1J 9HF,+44 2070960662,,0,,,,,,,ERA - Active,10/1/2015,,3/30/2022,Oct-21,HTTP://WWW.PLINIANCAPITAL.COM,Y,N,N,,254900376U7SBJ6ST437,N,Y,N,Corporation,,DECEMBER,,United Kingdom,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
SFRO,161685,802-74919,ERA,"MAYFIELD FUND, L.L.C., A DELAWARE LIMITED LIABILITY COMPANY","MAYFIELD FUND, L.L.C., A DELAWARE LIMITED LIABILITY COMPANY",2484 SAND HILL ROAD,,MENLO PARK,CA,United States,94025,650-854-5560,650-854-5712,1,,,,,,,ERA - Active,3/26/2012,,3/9/2022,Oct-21,HTTP://WWW.MAYFIELD.COM,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,163586,802-76609,ERA,LEGEND CAPITAL,LEGEND CAPITAL MANAGEMENT LIMITED,"16TH FLOOR, TOWER B, RAYCOM INFOTECH PARK, NO. 2","KEXUEYUAN NAN LU, ZHONGGUANCUN, HAIDIAN DISTRICT",BEIJING,,China,100190,+86 1089139000,+86 1089139001,3,,,,,,,ERA - Active,4/23/2012,,3/29/2022,Oct-21,HTTP://WWW.LEGENDCAPITAL.COM.CN/,Y,N,N,,,Y,N,N,Corporation,,DECEMBER,,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
DRO,296897,802-113267,ERA,"BCM ADVISOR, LLC","BCM ADVISOR, LLC",250 FILLMORE STREET,SUITE 150,DENVER,CO,United States,80206,720-647-8390,,0,,,,,,,ERA - Active,4/20/2018,,3/30/2022,Oct-21,,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,162116,802-75205,ERA,CITIC CAPITAL CHINA RETAIL PROPERTIES GP LIMITED,CITIC CAPITAL CHINA RETAIL PROPERTIES GP LIMITED,C/O 28/F CITIC TOWER,"1 TIM MEI AVENUE, CENTRAL",HONG KONG,,Hong Kong,,852-37106888,852-21046623,2,,,,,,,ERA - Active,3/28/2012,,4/29/2022,Oct-21,HTTP://WWW.CITICCAPITAL.COM,N,N,N,,,N,Y,N,Corporation,,DECEMBER,,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,286267,802-108943,ERA,KUVARI PARTNERS LLP,KUVARI PARTNERS LLP,"6TH FLOOR, 55 WELLS STREET",,LONDON,,United Kingdom,W1A 3AE,+44 (0) 20 7614 7330,+44 (0) 20 7614 7331,0,,,,,,,ERA - Active,1/6/2017,,6/29/2021,Mar-20,HTTP://WWW.KUVARIPARTNERS.COM/,Y,N,N,,213800ZG2RX57IR5UX86,N,Y,N,Limited Liability Partnership,,MARCH,,United Kingdom,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,162760,802-75635,ERA,COGNIS CAPITAL LLP,COGNIS CAPITAL LLP,53 DAVIES STREET,,LONDON,,United Kingdom,W1K 5JH,+44 20 3709 7248,+44 20 3709 7248,0,,,,,,,ERA - Active,3/30/2012,,3/2/2022,Oct-21,HTTP://WWW.COGNISCAPITAL.COM,Y,N,N,,,N,Y,N,Limited Liability Partnership,,NOVEMBER,,United Kingdom,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYRO,315314,802-122160,ERA,EISLER CAPITAL,EISLER CAPITAL (US) LLC,ONE MANHATTAN WEST,401 9TH AVENUE,NEW YORK,NY,United States,10001,+1 332 455 0400,,0,,,,,,,ERA - Active,7/26/2021,,3/31/2022,Oct-21,https://eislercapital.com,N,N,N,,549300GQEG7PA4FHLL24,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,297739,802-113780,ERA,AVENIDA PARTNERS LLC,AVENIDA PARTNERS LLC,CARERRA 7 NO. 75-66 OF. 701,,BOGOTA,,Colombia,,57-1-316-2099,,1,,,,,,,ERA - Active,7/3/2018,,9/28/2021,Mar-20,HTTPS://WWW.ASHMOREAVENIDA.COM/,N,N,N,,,N,Y,N,Limited Liability Company,,JUNE,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CHRO,308415,802-118510,ERA,"MAYWIC III GP, LLC","MAYWIC III GP, LLC",312 WALNUT STREET,SUITE 2510,CINCINNATI,OH,United States,45202,513-241-1200,513-651-1084,0,,,,,,,ERA - Active,3/24/2020,,3/30/2021,Mar-20,HTTP://WWW.MAYWIC.COM,N,N,N,,,Y,Y,N,Limited Liability Company,,DECEMBER,OH,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,318767,802-123512,ERA,MINGSHI INVESTMENT MANAGEMENT LIMITED,MINGSHI INVESTMENT MANAGEMENT LIMITED,"19/F, 8 QUEEN'S ROAD CENTRAL",8 QUEEN'S ROAD CENTRAL,"CENTRAL, HONG KONG",,Hong Kong,,852 3611 9541,,0,,,,,,,ERA - Active,2/21/2022,,4/12/2022,Oct-21,https://www.mingshiim.com,Y,N,N,,984500C0805AF2B68571,N,Y,N,Other (specify),HONG KONG INCORPORATED LIMITED LIABILITY COMPANY,DECEMBER,,Hong Kong,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MIRO,163334,802-76311,ERA,ANTARES CAPITAL CORPORATION,ANTARES CAPITAL CORPORATION,10270 SOUTH TROPICAL TRAIL,,MERRITT ISLAND,FL,United States,32952,321-777-4884,321-777-5884,0,,,,,,,ERA - Active,4/2/2012,,3/9/2022,Oct-21,HTTP://WWW.ANTARESCAPITAL.COM,N,N,N,,,Y,Y,N,Corporation,,DECEMBER,FL,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
PLRO,162533,802-75426,ERA,"ADAMS CAPITAL MANAGEMENT, INC.","ADAMS CAPITAL MANAGEMENT, INC.",500 BLACKBURN AVENUE,,SEWICKLEY,PA,United States,15143,412-749-9454,412-749-9459,0,,,,,,,ERA - Active,3/29/2012,,3/24/2022,Oct-21,HTTP://WWW.ACM.COM,N,N,N,,,Y,N,N,Corporation,,DECEMBER,PA,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYRO,284798,802-117671,ERA,JW LEVIN MANAGEMENT PARTNERS LLC,JW LEVIN MANAGEMENT PARTNERS LLC,,,,,,,212-605-7666,,0,,,,,,,ERA - Active,10/23/2019,,3/9/2022,Oct-21,HTTP://WWW.JWLMP.COM,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,163364,802-75433,ERA,CAPULA INVESTMENT MANAGEMENT LLP,CAPULA INVESTMENT MANAGEMENT LLP,7 CLARGES STREET,,LONDON,,United Kingdom,W1J 8AE,+4420 707 10900,+4420 7071 0950,0,,,,,,,ERA - Active,3/29/2012,,1/17/2022,Oct-21,HTTP://WWW.CAPULAGLOBAL.COM/,Y,N,N,,NYUQZJ2GTTMDCT7UWF49,N,Y,N,Limited Liability Partnership,,MARCH,,United Kingdom,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
HQ,171814,802-80072,ERA,POLLEN STREET CAPITAL LIMITED,POLLEN STREET CAPITAL LIMITED,11 - 12 HANOVER SQUARE,,LONDON,,United Kingdom,W1S 1JJ,+44 203 728 6750,+44 207 900 1780,0,,,,,,,ERA - Active,7/3/2014,,3/25/2022,Oct-21,http://pollencap.com/,Y,N,N,,213800OYNUSG516BP371,N,Y,N,Corporation,,DECEMBER,,United Kingdom,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MIRO,305337,802-117297,ERA,CAPITAL Q VENTURES INC.,CAPITAL Q MANAGEMENT LLC,100 EAST FAITH TERRACE,SUITE 1016,MAITLAND,FL,United States,32751,407-307-2277,,0,,,,,,,ERA - Active,8/7/2019,,3/29/2022,Oct-21,https://galofund.com,N,N,N,,,N,Y,N,Corporation,,DECEMBER,FL,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CHRO,309488,802-119318,ERA,"TOPIARY CAPITAL MANAGEMENT, LLC","TOPIARY CAPITAL MANAGEMENT, LLC","330 E. LIBERTY ST, LOWER LEVEL",,ANN ARBOR,MI,United States,48104,(650) 469-3008,,0,,,,,,,ERA - Active,7/20/2020,,3/28/2022,Oct-21,http://www.linkedin.com/company/topiarycapital,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
